"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",224,58,110,4121,61,16225,3945,11.26
"None","Total",224,58,110,4121,61,16225,3945,11.26
