"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",603,3,3800,3465,20,15110,608,30.71
"None","Total",603,3,3800,3465,20,15110,608,30.71
