"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",313,7600,12000,12000,13000,14000,14000,15000,15000,17000
"Total",313,7600,12000,12000,13000,14000,14000,15000,15000,17000
