"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",313,0,7600,9001,3669,17336,287381,16.20
"None","Total",313,0,7600,9001,3669,17336,287381,16.20
