"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",410,3700,3800,6200,7400,7400,7500,7500,8700,15000
"Total",410,3700,3800,6200,7400,7400,7500,7500,8700,15000
