"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",601,700,1900,2300,2500,3700,3700,3800,3800,4500
"Total",601,700,1900,2300,2500,3700,3700,3800,3800,4500
