"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",53,0,13000,13218,7196,18507,287381,2.80
"None","Total",53,0,13000,13218,7196,18507,287381,2.80
