"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",141,0,95,184,61,9381,5324,7.44
"None","Total",141,0,95,184,61,9381,5324,7.44
