"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",118,0,1700,2957,61,13008,5452,5.97
"None","Total",118,0,1700,2957,61,13008,5452,5.97
