"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",1179,745,15000,10075,49,31683,2186,19.86
"None","Total",1179,745,15000,10075,49,31683,2186,19.86
