"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",176,22,110,2438,55,15844,11677,9.13
"None","Total",176,22,110,2438,55,15844,11677,9.13
