"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",1708,4400,4500,4600,4600,5300,5600,7400,7900,15000
"Total",1708,4400,4500,4600,4600,5300,5600,7400,7900,15000
