"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",433,0,89,316,52,25404,5452,7.31
"None","Total",433,0,89,316,52,25404,5452,7.31
