"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",268,0,2500,4482,907,15474,287347,4.49
"None","Total",268,0,2500,4482,907,15474,287347,4.49
