"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",416,0,88,437,54,9698,12082,7.00
"None","Total",416,0,88,437,54,9698,12082,7.00
