"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",403,162,990,8944,70,25550,3552,12.97
"None","Total",403,162,990,8944,70,25550,3552,12.97
