"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",396,0,160,813,53,34789,5940,6.70
"None","Total",396,0,160,813,53,34789,5940,6.70
