"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",1089,6900,7800,9200,10000,13000,16000,19000,21000,25000
"Total",1089,6900,7800,9200,10000,13000,16000,19000,21000,25000
