"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",101,16000,17000,17000,18000,18000,18000,18000,18000,19000
"Total",101,16000,17000,17000,18000,18000,18000,18000,18000,19000
