"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",431,31,110,1639,51,26420,5512,7.23
"None","Total",431,31,110,1639,51,26420,5512,7.23
