"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",438,0,87,151,52,17923,5452,7.46
"None","Total",438,0,87,151,52,17923,5452,7.46
