"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",441,16,100,804,51,15365,5130,7.43
"None","Total",441,16,100,804,51,15365,5130,7.43
